position,bounciness,size,bucket
760,0.520774352,16,10
10,0.518056622,16,3
15,0.510649977,16,2
30,0.505398852,16,1
170,0.509113399,16,2
175,0.50437299,16,2
284,0.523263963,16,6
342,0.53209561,16,2
415,0.530686183,16,7
448,0.539581342,16,6
467,0.531495086,16,4
519,0.542324346,16,10
51,0.504890872,16,1
76,0.52154468,16,1
98,0.508041229,16,1
108,0.508317163,16,2
130,0.527594464,16,1
150,0.542319103,16,4
160,0.548335458,16,2
349,0.524684707,16,1
412,0.502018226,16,9
489,0.517943723,16,3
547,0.526736508,16,10
638,0.530522885,16,10
660,0.508848706,16,7
660,0.508848706,16,8
96,0.525730771,16,1
139,0.535010474,16,1
157,0.519432768,16,4
167,0.511082666,16,4
393,0.506027244,16,8
548,0.516370568,16,8
556,0.51111056,16,6
585,0.540986647,16,9
592,0.509504769,16,10
609,0.53953082,16,5
662,0.502691368,16,10
680,0.521505902,16,10
770,0.50786357,16,7
142,0.549936059,16,4
171,0.513371068,16,1
213,0.514253599,16,1
270,0.533615694,16,2
369,0.531659396,16,3
386,0.542705479,16,8
435,0.513680586,16,7
451,0.505224504,16,9
456,0.51415238,16,3
511,0.509167714,16,8
554,0.505067935,16,7
558,0.523579661,16,5
568,0.511945589,16,8
581,0.5012918,16,9
636,0.524921551,16,6
659,0.522489344,16,10
710,0.52793885,16,9
765,0.532082108,16,10
36,0.530821966,16,3
59,0.536427925,16,2
145,0.536415847,16,2
168,0.53921093,16,3
210,0.504580137,16,2
218,0.503562206,16,2
265,0.506456679,16,5
332,0.531142108,16,3
468,0.526183741,16,6
518,0.520116504,16,7
526,0.545965481,16,5
529,0.529538904,16,3
543,0.514031253,16,10
566,0.540416622,16,8
104,0.503300167,16,2
110,0.510696255,16,1
117,0.546756008,16,3
117,0.546756008,16,4
147,0.516444968,16,1
163,0.517806068,16,6
216,0.500520511,16,1
258,0.545260332,16,6
331,0.521129317,16,3
446,0.506093385,16,6
447,0.546942928,16,7
460,0.522201313,16,4
593,0.532868774,16,10
601,0.505653771,16,7
611,0.544495683,16,9
613,0.511893635,16,9
9,0.513248834,16,2
54,0.530744678,16,1
58,0.543208959,16,2
64,0.523910296,16,1
94,0.531551896,16,4
133,0.542717977,16,1
174,0.542630142,16,2
176,0.533912763,16,2
183,0.522174248,16,2
191,0.505484569,16,2
278,0.547714297,16,1
282,0.519741776,16,3
306,0.504836949,16,4
362,0.51996443,16,7
418,0.52537491,16,3
443,0.512033879,16,9
488,0.547116084,16,3
561,0.538294848,16,10
565,0.521487155,16,8
624,0.520865439,16,9
645,0.520543453,16,8
684,0.534893776,16,7
695,0.531613766,16,8
738,0.549766047,16,9
12,0.549977976,16,2
24,0.519741285,16,2
46,0.549462119,16,1
65,0.524854917,16,2
143,0.525406939,16,2
204,0.53609696,16,2
260,0.526718177,16,4
263,0.535134597,16,6
303,0.531825147,16,6
308,0.526373707,16,7
324,0.515907506,16,5
397,0.536887753,16,6
476,0.527792296,16,7
607,0.505619566,16,6
615,0.525829311,16,9
615,0.525829311,16,10
625,0.535103638,16,8
726,0.528195935,16,9
60,0.520664069,16,2
115,0.50255987,16,2
164,0.546664348,16,4
224,0.544056608,16,2
237,0.508208365,16,5
246,0.507456094,16,2
322,0.539771119,16,4
365,0.535063672,16,5
380,0.537455861,16,5
385,0.537441498,16,6
425,0.547499601,16,5
469,0.529468624,16,7
524,0.505441823,16,5
552,0.51256171,16,8
570,0.513801232,16,9
584,0.544400185,16,10
627,0.543311429,16,9
635,0.532520972,16,7
644,0.538514166,16,8
647,0.547939232,16,10
650,0.502860703,16,9
674,0.51091029,16,10
683,0.524302867,16,9
744,0.501470003,16,7
754,0.518247702,16,10
38,0.549148275,16,1
77,0.548086944,16,1
124,0.540504899,16,2
166,0.541056521,16,1
172,0.501814952,16,4
205,0.538859954,16,3
251,0.519236586,16,5
287,0.541050381,16,4
325,0.525672618,16,3
387,0.507737759,16,2
417,0.549447307,16,6
444,0.53667333,16,7
462,0.542333906,16,8
475,0.505468217,16,9
513,0.512127615,16,9
514,0.541415078,16,9
578,0.533637633,16,9
682,0.510277073,16,10
707,0.511946343,16,9
732,0.53915788,16,9
27,0.541794893,16,2
80,0.502517393,16,1
138,0.532911318,16,1
182,0.526075909,16,2
219,0.523890935,16,3
238,0.507050688,16,3
327,0.502644833,16,3
340,0.501716029,16,3
359,0.508497448,16,6
363,0.503009436,16,5
371,0.518907705,16,4
583,0.520511698,16,10
614,0.508690405,16,9
677,0.51518412,16,7
694,0.521733135,16,10
737,0.546453237,16,10
16,0.512804435,16,3
16,0.512804435,16,4
34,0.547141375,16,2
209,0.535236597,16,2
268,0.50841212,16,5
281,0.517026175,16,5
307,0.507484598,16,4
398,0.538734588,16,6
439,0.505342074,16,6
464,0.546711281,16,2
478,0.512573114,16,6
567,0.505826631,16,4
577,0.53579601,16,10
111,0.546819819,16,1
123,0.501583094,16,4
217,0.508152368,16,3
283,0.547931637,16,2
290,0.537112085,16,6
298,0.543043366,16,6
353,0.530881241,16,6
357,0.517545422,16,4
458,0.544166866,16,8
541,0.505423944,16,7
632,0.503666321,16,9
658,0.52632279,16,9
708,0.542301979,16,9
753,0.541969534,16,10
17,0.504261401,16,2
28,0.514110878,16,5
126,0.525497013,16,4
131,0.548042091,16,5
144,0.549263639,16,2
188,0.5127928,16,1
294,0.54437139,16,3
314,0.544121222,16,1
334,0.519409072,16,5
414,0.501160002,16,4
427,0.512421723,16,5
479,0.547035937,16,6
629,0.522497623,16,4
631,0.529809703,16,8
655,0.523045014,16,9
685,0.506186603,16,9
709,0.534702283,16,8
727,0.540072275,16,10
763,0.546771231,16,10
776,0.51949702,16,9
778,0.534234387,16,10
31,0.549664524,16,2
141,0.547458372,16,4
153,0.508040138,16,4
215,0.521132391,16,3
247,0.532246032,16,3
249,0.53007211,16,1
269,0.529171753,16,2
292,0.542667576,16,5
300,0.529250631,16,5
